period,keyword,ratio
2025-01-15,니트,45.29758
2025-01-16,니트,38.73654
2025-01-17,니트,36.44119
2025-01-18,니트,41.51939
2025-01-19,니트,45.60227
2025-01-20,니트,41.3772
2025-01-21,니트,40.01625
2025-01-22,니트,37.84277
2025-01-23,니트,34.81616
2025-01-24,니트,29.25045
2025-01-25,니트,30.38797
2025-01-26,니트,31.72862
2025-01-27,니트,31.11923
2025-01-28,니트,28.60044
2025-01-29,니트,31.01767
2025-01-30,니트,34.47085
2025-01-31,니트,32.338
2025-02-01,니트,34.59272
2025-02-02,니트,37.70058
2025-02-03,니트,35.18179
2025-02-04,니트,38.10684
2025-02-05,니트,37.07089
2025-02-06,니트,35.12086
2025-02-07,니트,33.57708
2025-02-08,니트,37.45683
2025-02-09,니트,37.49746
2025-02-10,니트,36.54275
2025-02-11,니트,35.38492
2025-02-12,니트,37.57871
2025-02-13,니트,32.58175
2025-02-14,니트,31.80987
2025-02-15,니트,33.57708
2025-02-16,니트,39.0006
2025-02-17,니트,34.83648
2025-02-18,니트,36.11618
2025-02-19,니트,33.59739
2025-02-20,니트,31.64736
2025-02-21,니트,27.78793
2025-02-22,니트,29.85984
2025-02-23,니트,34.02396
2025-02-24,니트,31.01767
2025-02-25,니트,26.77229
2025-02-26,니트,27.62543
2025-02-27,니트,27.7473
2025-02-28,니트,24.8832
2025-03-01,니트,27.95043
2025-03-02,니트,27.23948
2025-03-03,니트,29.71765
2025-03-04,니트,22.87223
2025-03-05,니트,21.79565
2025-03-06,니트,24.53788
2025-03-07,니트,23.01442
2025-03-08,니트,25.2082
2025-03-09,니트,28.92545
2025-03-10,니트,24.72069
2025-03-11,니트,25.24883
2025-03-12,니트,24.23319
2025-03-13,니트,23.38005
2025-03-14,니트,21.51127
2025-03-15,니트,23.23786
2025-01-15,트렌치코트,4.611
2025-01-16,트렌치코트,4.24537
2025-01-17,트렌치코트,5.58602
2025-01-18,트렌치코트,6.52041
2025-01-19,트렌치코트,6.21572
2025-01-20,트렌치코트,5.72821
2025-01-21,트렌치코트,5.64696
2025-01-22,트렌치코트,6.80479
2025-01-23,트렌치코트,6.56104
2025-01-24,트렌치코트,5.85009
2025-01-25,트렌치코트,7.39386
2025-01-26,트렌치코트,7.21105
2025-01-27,트렌치코트,7.51574
2025-01-28,트렌치코트,7.02823
2025-01-29,트렌치코트,7.53605
2025-01-30,트렌치코트,8.53138
2025-01-31,트렌치코트,7.75949
2025-02-01,트렌치코트,10.88767
2025-02-02,트렌치코트,10.80641
2025-02-03,트렌치코트,8.16575
2025-02-04,트렌치코트,9.44546
2025-02-05,트렌치코트,8.32825
2025-02-06,트렌치코트,9.05951
2025-02-07,트렌치코트,8.71419
2025-02-08,트렌치코트,9.8314
2025-02-09,트렌치코트,11.07048
2025-02-10,트렌치코트,10.88767
2025-02-11,트렌치코트,11.43611
2025-02-12,트렌치코트,10.64391
2025-02-13,트렌치코트,11.98456
2025-02-14,트렌치코트,14.32053
2025-02-15,트렌치코트,17.40808
2025-02-16,트렌치코트,20.35344
2025-02-17,트렌치코트,17.63152
2025-02-18,트렌치코트,17.30652
2025-02-19,트렌치코트,17.59089
2025-02-20,트렌치코트,19.07373
2025-02-21,트렌치코트,17.7534
2025-02-22,트렌치코트,20.96282
2025-02-23,트렌치코트,27.4223
2025-02-24,트렌치코트,23.72537
2025-02-25,트렌치코트,23.70505
2025-02-26,트렌치코트,26.54885
2025-02-27,트렌치코트,29.10826
2025-02-28,트렌치코트,28.80357
2025-03-01,트렌치코트,34.8771
2025-03-02,트렌치코트,42.08815
2025-03-03,트렌치코트,37.07089
2025-03-04,트렌치코트,30.71297
2025-03-05,트렌치코트,32.07393
2025-03-06,트렌치코트,37.35527
2025-03-07,트렌치코트,37.49746
2025-03-08,트렌치코트,45.03351
2025-03-09,트렌치코트,49.96953
2025-03-10,트렌치코트,45.05382
2025-03-11,트렌치코트,49.80702
2025-03-12,트렌치코트,49.96953
2025-03-13,트렌치코트,47.00385
2025-03-14,트렌치코트,46.23197
2025-03-15,트렌치코트,49.62421
2025-01-15,반팔,3.14848
2025-01-16,반팔,2.43753
2025-01-17,반팔,2.39691
2025-01-18,반팔,2.60004
2025-01-19,반팔,3.20942
2025-01-20,반팔,3.10786
2025-01-21,반팔,2.43753
2025-01-22,반팔,2.60004
2025-01-23,반팔,2.74223
2025-01-24,반팔,2.2344
2025-01-25,반팔,2.33597
2025-01-26,반팔,2.41722
2025-01-27,반팔,2.03128
2025-01-28,반팔,2.11253
2025-01-29,반팔,2.37659
2025-01-30,반팔,3.47349
2025-01-31,반팔,2.47816
2025-02-01,반팔,2.76254
2025-02-02,반팔,3.45317
2025-02-03,반팔,3.69693
2025-02-04,반팔,2.90473
2025-02-05,반팔,2.66097
2025-02-06,반팔,3.27036
2025-02-07,반팔,3.31098
2025-02-08,반팔,3.0266
2025-02-09,반팔,4.04225
2025-02-10,반팔,4.48913
2025-02-11,반팔,4.46881
2025-02-12,반팔,3.10786
2025-02-13,반팔,3.8188
2025-02-14,반팔,3.27036
2025-02-15,반팔,3.79849
2025-02-16,반팔,4.48913
2025-02-17,반팔,4.30631
2025-02-18,반팔,4.10318
2025-02-19,반팔,4.08287
2025-02-20,반팔,3.6563
2025-02-21,반팔,3.22973
2025-02-22,반팔,3.57505
2025-02-23,반팔,4.24537
2025-02-24,반팔,4.08287
2025-02-25,반팔,4.26569
2025-02-26,반팔,4.97664
2025-02-27,반팔,4.99695
2025-02-28,반팔,5.20008
2025-03-01,반팔,4.57038
2025-03-02,반팔,5.95165
2025-03-03,반팔,5.62665
2025-03-04,반팔,5.22039
2025-03-05,반팔,4.611
2025-03-06,반팔,4.93601
2025-03-07,반팔,4.65163
2025-03-08,반팔,5.7079
2025-03-09,반팔,6.92667
2025-03-10,반팔,6.90635
2025-03-11,반팔,8.38919
2025-03-12,반팔,7.21105
2025-03-13,반팔,7.80012
2025-03-14,반팔,8.49075
2025-03-15,반팔,8.97826
2025-01-15,패딩,100.0
2025-01-16,패딩,90.77798
2025-01-17,패딩,80.11375
2025-01-18,패딩,80.3575
2025-01-19,패딩,82.5716
2025-01-20,패딩,68.53544
2025-01-21,패딩,63.07129
2025-01-22,패딩,57.83059
2025-01-23,패딩,56.83526
2025-01-24,패딩,46.98354
2025-01-25,패딩,52.16331
2025-01-26,패딩,51.41174
2025-01-27,패딩,55.43367
2025-01-28,패딩,56.2665
2025-01-29,패딩,61.06032
2025-01-30,패딩,64.9807
2025-01-31,패딩,61.40564
2025-02-01,패딩,63.61974
2025-02-02,패딩,66.95104
2025-02-03,패딩,72.78082
2025-02-04,패딩,81.53564
2025-02-05,패딩,85.55758
2025-02-06,패딩,74.79179
2025-02-07,패딩,80.15437
2025-02-08,패딩,79.32155
2025-02-09,패딩,85.67946
2025-02-10,패딩,68.96201
2025-02-11,패딩,57.30245
2025-02-12,패딩,58.03371
2025-02-13,패딩,53.03676
2025-02-14,패딩,46.19134
2025-02-15,패딩,49.66483
2025-02-16,패딩,51.89924
2025-02-17,패딩,50.15234
2025-02-18,패딩,52.143
2025-02-19,패딩,52.87426
2025-02-20,패딩,46.71947
2025-02-21,패딩,42.7991
2025-02-22,패딩,49.31952
2025-02-23,패딩,54.31647
2025-02-24,패딩,49.09607
2025-02-25,패딩,44.72882
2025-02-26,패딩,39.99593
2025-02-27,패딩,34.93804
2025-02-28,패딩,28.60044
2025-03-01,패딩,29.08795
2025-03-02,패딩,29.31139
2025-03-03,패딩,34.34897
2025-03-04,패딩,33.45521
2025-03-05,패딩,31.80987
2025-03-06,패딩,27.21917
2025-03-07,패딩,25.24883
2025-03-08,패딩,25.0457
2025-03-09,패딩,26.44728
2025-03-10,패딩,23.76599
2025-03-11,패딩,19.92687
2025-03-12,패딩,17.08307
2025-03-13,패딩,16.06743
2025-03-14,패딩,14.52366
2025-03-15,패딩,17.55027
