period,ratio,group,gender
2025-01-15,40.54135,f,50000815
2025-01-15,2.36517,m,50000815
2025-01-16,39.39868,f,50000815
2025-01-16,2.31268,m,50000815
2025-01-17,37.65764,f,50000815
2025-01-17,2.18635,m,50000815
2025-01-18,44.64913,f,50000815
2025-01-18,2.63606,m,50000815
2025-01-19,49.42944,f,50000815
2025-01-19,2.87396,m,50000815
2025-01-20,39.99736,f,50000815
2025-01-20,2.38402,m,50000815
2025-01-21,39.79151,f,50000815
2025-01-21,2.37585,m,50000815
2025-01-22,39.11898,f,50000815
2025-01-22,2.27654,m,50000815
2025-01-23,37.08599,f,50000815
2025-01-23,2.16969,m,50000815
2025-01-24,34.79813,f,50000815
2025-01-24,1.98522,m,50000815
2025-01-25,42.21011,f,50000815
2025-01-25,2.49622,m,50000815
2025-01-26,44.18025,f,50000815
2025-01-26,2.78723,m,50000815
2025-01-27,43.27107,f,50000815
2025-01-27,2.64015,m,50000815
2025-01-28,42.14694,f,50000815
2025-01-28,2.74354,m,50000815
2025-01-29,40.69188,f,50000815
2025-01-29,2.47893,m,50000815
2025-01-30,50.76099,f,50000815
2025-01-30,3.15523,m,50000815
2025-01-31,44.45931,f,50000815
2025-01-31,2.81331,m,50000815
2025-02-01,56.50579,f,50000815
2025-02-01,3.55058,m,50000815
2025-02-02,59.93821,f,50000815
2025-02-02,3.60212,m,50000815
2025-02-03,47.02499,f,50000815
2025-02-03,2.63764,m,50000815
2025-02-04,45.76289,f,50000815
2025-02-04,2.49527,m,50000815
2025-02-05,46.44925,f,50000815
2025-02-05,2.57635,m,50000815
2025-02-06,44.11425,f,50000815
2025-02-06,2.49999,m,50000815
2025-02-07,44.03725,f,50000815
2025-02-07,2.38465,m,50000815
2025-02-08,54.70661,f,50000815
2025-02-08,3.13669,m,50000815
2025-02-09,62.53405,f,50000815
2025-02-09,3.51381,m,50000815
2025-02-10,48.41122,f,50000815
2025-02-10,2.85668,m,50000815
2025-02-11,48.16389,f,50000815
2025-02-11,2.79068,m,50000815
2025-02-12,47.57998,f,50000815
2025-02-12,2.86202,m,50000815
2025-02-13,45.6947,f,50000815
2025-02-13,2.71243,m,50000815
2025-02-14,46.66358,f,50000815
2025-02-14,2.59081,m,50000815
2025-02-15,59.65034,f,50000815
2025-02-15,3.45442,m,50000815
2025-02-16,74.40517,f,50000815
2025-02-16,4.15586,m,50000815
2025-02-17,61.09597,f,50000815
2025-02-17,3.36045,m,50000815
2025-02-18,56.10478,f,50000815
2025-02-18,2.97264,m,50000815
2025-02-19,54.49291,f,50000815
2025-02-19,2.92205,m,50000815
2025-02-20,52.20128,f,50000815
2025-02-20,2.86925,m,50000815
2025-02-21,51.36218,f,50000815
2025-02-21,2.92268,m,50000815
2025-02-22,65.65347,f,50000815
2025-02-22,3.59269,m,50000815
2025-02-23,74.49065,f,50000815
2025-02-23,4.12663,m,50000815
2025-02-24,58.92753,f,50000815
2025-02-24,3.27874,m,50000815
2025-02-25,59.64783,f,50000815
2025-02-25,3.26491,m,50000815
2025-02-26,61.54443,f,50000815
2025-02-26,3.09741,m,50000815
2025-02-27,58.12741,f,50000815
2025-02-27,3.14518,m,50000815
2025-02-28,57.5501,f,50000815
2025-02-28,2.92362,m,50000815
2025-03-01,77.644,f,50000815
2025-03-01,4.06535,m,50000815
2025-03-02,86.95352,f,50000815
2025-03-02,4.8727,m,50000815
2025-03-03,87.01355,f,50000815
2025-03-03,4.74322,m,50000815
2025-03-04,64.21004,f,50000815
2025-03-04,3.54115,m,50000815
2025-03-05,64.06328,f,50000815
2025-03-05,3.47327,m,50000815
2025-03-06,66.27509,f,50000815
2025-03-06,3.56221,m,50000815
2025-03-07,66.20658,f,50000815
2025-03-07,3.51413,m,50000815
2025-03-08,87.64303,f,50000815
2025-03-08,4.54681,m,50000815
2025-03-09,100.0,f,50000815
2025-03-09,5.28188,m,50000815
2025-03-10,81.09056,f,50000815
2025-03-10,4.11563,m,50000815
2025-03-11,79.7279,f,50000815
2025-03-11,4.12789,m,50000815
2025-03-12,84.62701,f,50000815
2025-03-12,4.13826,m,50000815
2025-03-13,81.51357,f,50000815
2025-03-13,4.15303,m,50000815
2025-03-14,75.19398,f,50000815
2025-03-14,3.87805,m,50000815
2025-03-15,90.64019,f,50000815
2025-03-15,4.76774,m,50000815
