period,ratio,keyword
2025-01-22,1.80878,오버핏 트렌치코트
2025-01-27,1.55038,오버핏 트렌치코트
2025-01-29,2.06718,오버핏 트렌치코트
2025-01-31,2.32558,오버핏 트렌치코트
2025-02-01,1.80878,오버핏 트렌치코트
2025-02-04,3.87596,오버핏 트렌치코트
2025-02-06,2.32558,오버핏 트렌치코트
2025-02-07,1.80878,오버핏 트렌치코트
2025-02-08,1.80878,오버핏 트렌치코트
2025-02-09,2.32558,오버핏 트렌치코트
2025-02-10,1.55038,오버핏 트렌치코트
2025-02-11,1.55038,오버핏 트렌치코트
2025-02-12,2.58397,오버핏 트렌치코트
2025-02-13,1.80878,오버핏 트렌치코트
2025-02-14,2.06718,오버핏 트렌치코트
2025-02-15,3.61757,오버핏 트렌치코트
2025-02-16,3.35917,오버핏 트렌치코트
2025-02-17,6.20155,오버핏 트렌치코트
2025-02-18,5.42635,오버핏 트렌치코트
2025-02-19,4.90956,오버핏 트렌치코트
2025-02-20,6.71834,오버핏 트렌치코트
2025-02-21,4.13436,오버핏 트렌치코트
2025-02-22,2.84237,오버핏 트렌치코트
2025-02-23,3.10077,오버핏 트렌치코트
2025-02-24,5.94315,오버핏 트렌치코트
2025-02-25,4.13436,오버핏 트렌치코트
2025-02-26,10.07751,오버핏 트렌치코트
2025-02-27,9.56072,오버핏 트렌치코트
2025-02-28,8.01033,오버핏 트렌치코트
2025-03-01,10.85271,오버핏 트렌치코트
2025-03-02,11.8863,오버핏 트렌치코트
2025-03-03,11.11111,오버핏 트렌치코트
2025-03-04,9.04392,오버핏 트렌치코트
2025-03-05,13.95348,오버핏 트렌치코트
2025-03-06,13.95348,오버핏 트렌치코트
2025-03-07,13.95348,오버핏 트렌치코트
2025-03-08,14.21188,오버핏 트렌치코트
2025-03-09,15.24547,오버핏 트렌치코트
2025-03-10,18.08785,오버핏 트렌치코트
2025-03-11,18.34625,오버핏 트렌치코트
2025-03-12,21.70542,오버핏 트렌치코트
2025-03-13,21.18863,오버핏 트렌치코트
2025-03-14,19.12144,오버핏 트렌치코트
2025-03-15,13.95348,오버핏 트렌치코트
2025-01-16,1.29198,롱 트렌치코트
2025-01-17,2.06718,롱 트렌치코트
2025-01-18,3.61757,롱 트렌치코트
2025-01-19,4.39276,롱 트렌치코트
2025-01-20,4.13436,롱 트렌치코트
2025-01-21,1.80878,롱 트렌치코트
2025-01-22,2.58397,롱 트렌치코트
2025-01-23,1.80878,롱 트렌치코트
2025-01-24,2.58397,롱 트렌치코트
2025-01-25,3.61757,롱 트렌치코트
2025-01-26,5.94315,롱 트렌치코트
2025-01-27,4.13436,롱 트렌치코트
