period,ratio
2025-02-10,48.92076
2025-02-11,48.64927
2025-02-12,48.74351
2025-02-13,46.413
2025-02-14,46.91789
2025-02-15,58.62333
2025-02-16,72.60449
2025-02-17,61.42751
2025-02-18,56.3887
2025-02-19,55.29426
2025-02-20,52.65637
2025-02-21,52.10244
2025-02-22,64.28455
2025-02-23,72.81981
2025-02-24,59.55449
2025-02-25,60.00652
2025-02-26,61.84419
2025-02-27,58.46663
2025-02-28,57.48287
2025-03-01,75.60728
2025-03-02,85.2715
2025-03-03,85.69612
2025-03-04,64.54974
2025-03-05,64.77712
2025-03-06,66.88765
2025-03-07,66.58548
2025-03-08,85.59421
2025-03-09,97.52484
2025-03-10,81.39754
2025-03-11,80.32118
2025-03-12,85.32464
2025-03-13,81.98297
2025-03-14,75.67385
2025-03-15,88.6707
2025-03-16,100.0
2025-03-17,75.06294
2025-03-18,72.40889
2025-03-19,71.56402
2025-03-20,72.24177
2025-03-21,69.75949
2025-03-22,79.1188
2025-03-23,84.66661
2025-03-24,70.07207
2025-03-25,67.40378
2025-03-26,64.08183
2025-03-27,61.02315
2025-03-28,54.93045
2025-03-29,67.34214
2025-03-30,70.58792
2025-03-31,57.12371
2025-04-01,59.31314
2025-04-02,64.33085
2025-04-03,61.99705
2025-04-04,58.91618
2025-04-05,74.18547
2025-04-06,78.14572
2025-04-07,65.35763
2025-04-08,66.23482
2025-04-09,66.13182
2025-04-10,60.02158
2025-04-11,55.96133
2025-04-12,65.01327
2025-04-13,72.496
2025-04-14,57.76668
2025-04-15,57.31548
2025-04-16,60.62373
2025-04-17,55.96243
2025-04-18,50.67049
2025-04-19,56.50951
2025-04-20,58.85126
2025-04-21,48.4523
2025-04-22,47.55648
2025-04-23,45.21391
2025-04-24,43.95729
2025-04-25,42.24208
2025-04-26,46.24753
2025-04-27,50.67159
2025-04-28,41.16079
2025-04-29,41.0471
2025-04-30,37.65091
2025-05-01,45.23583
2025-05-02,36.56852
2025-05-03,44.01126
2025-05-04,43.60362
2025-05-05,46.59299
2025-05-06,50.11547
2025-05-07,42.29111
2025-05-08,40.77533
2025-05-09,42.08428
2025-05-10,47.53456
2025-05-11,49.90617
2025-05-12,42.92504
2025-05-13,42.68944
2025-05-14,40.22935
2025-05-15,36.9085
2025-05-16,34.23664
2025-05-17,36.94165
2025-05-18,40.28797
2025-05-19,36.64523
2025-05-20,33.8679
2025-05-21,32.01571
2025-05-22,30.07558
2025-05-23,29.79971
2025-05-24,34.9785
2025-05-25,35.55819
2025-05-26,30.85415
2025-05-27,30.85442
2025-05-28,30.22927
2025-05-29,27.34373
2025-05-30,25.23402
2025-05-31,28.23791
2025-06-01,31.52533
2025-06-02,26.8739
2025-06-03,32.30473
2025-06-04,25.21429
2025-06-05,22.84954
2025-06-06,26.43694
2025-06-07,26.6898
2025-06-08,26.35722
2025-06-09,22.81968
2025-06-10,22.11863
2025-06-11,22.65421
2025-06-12,21.53429
2025-06-13,20.57683
2025-06-14,22.5575
2025-06-15,24.36997
2025-06-16,20.31247
2025-06-17,19.91743
2025-06-18,19.6884
2025-06-19,18.71176
2025-06-20,17.7154
2025-06-21,20.90009
2025-06-22,21.31075
2025-06-23,17.48582
2025-06-24,17.86032
2025-06-25,18.3474
2025-06-26,17.48939
2025-06-27,17.04065
2025-06-28,19.08379
2025-06-29,18.41808
2025-06-30,15.11038
2025-07-01,15.47638
2025-07-02,14.92355
2025-07-03,14.08334
2025-07-04,13.50283
2025-07-05,15.8643
2025-07-06,16.51165
2025-07-07,13.26833
2025-07-08,13.35545
2025-07-09,13.36613
2025-07-10,12.97493
2025-07-11,12.84069
2025-07-12,14.54303
2025-07-13,16.4007
2025-07-14,13.73186
2025-07-15,13.81733
2025-07-16,14.59755
2025-07-17,13.99732
2025-07-18,12.78535
2025-07-19,15.23366
2025-07-20,15.3479
2025-07-21,12.34484
2025-07-22,12.25114
2025-07-23,11.91528
2025-07-24,12.25443
2025-07-25,11.35669
2025-07-26,12.33607
