period,ratio,group,age_group
2025-01-15,0.32689,10,50000815
2025-01-15,7.75243,20,50000815
2025-01-15,23.35795,30,50000815
2025-01-15,38.1379,40,50000815
2025-01-15,26.48389,50,50000815
2025-01-15,7.25603,60,50000815
2025-01-16,0.29057,10,50000815
2025-01-16,7.77816,20,50000815
2025-01-16,22.89409,30,50000815
2025-01-16,36.5579,40,50000815
2025-01-16,25.78924,50,50000815
2025-01-16,7.14555,60,50000815
2025-01-17,0.26181,10,50000815
2025-01-17,6.90492,20,50000815
2025-01-17,20.8699,30,50000815
2025-01-17,35.68617,40,50000815
2025-01-17,25.50699,50,50000815
2025-01-17,6.73164,60,50000815
2025-01-18,0.30949,10,50000815
2025-01-18,8.09749,20,50000815
2025-01-18,24.07303,30,50000815
2025-01-18,42.93843,40,50000815
2025-01-18,30.75776,50,50000815
2025-01-18,7.704,60,50000815
2025-01-19,0.37154,10,50000815
2025-01-19,9.75467,20,50000815
2025-01-19,27.65376,30,50000815
2025-01-19,47.42039,40,50000815
2025-01-19,32.79102,50,50000815
2025-01-19,7.95447,60,50000815
2025-01-20,0.311,10,50000815
2025-01-20,8.33888,20,50000815
2025-01-20,23.49642,30,50000815
2025-01-20,37.10046,40,50000815
2025-01-20,25.56525,50,50000815
2025-01-20,7.25376,60,50000815
2025-01-21,0.29435,10,50000815
2025-01-21,7.79329,20,50000815
2025-01-21,22.32732,30,50000815
2025-01-21,37.1731,40,50000815
2025-01-21,26.58075,50,50000815
2025-01-21,7.37181,60,50000815
2025-01-22,0.30268,10,50000815
2025-01-22,7.09864,20,50000815
2025-01-22,21.31257,30,50000815
2025-01-22,37.5348,40,50000815
2025-01-22,26.5134,50,50000815
2025-01-22,6.95487,60,50000815
2025-01-23,0.2883,10,50000815
2025-01-23,6.99194,20,50000815
2025-01-23,19.93764,30,50000815
2025-01-23,34.33773,40,50000815
2025-01-23,25.89139,50,50000815
2025-01-23,7.08426,60,50000815
2025-01-24,0.311,10,50000815
2025-01-24,6.26853,20,50000815
2025-01-24,18.23581,30,50000815
2025-01-24,33.42741,40,50000815
2025-01-24,23.67274,50,50000815
2025-01-24,6.65294,60,50000815
2025-01-25,0.32613,10,50000815
2025-01-25,7.00859,20,50000815
2025-01-25,22.43552,30,50000815
2025-01-25,41.33422,40,50000815
2025-01-25,29.32532,50,50000815
2025-01-25,7.23106,60,50000815
2025-01-26,0.32916,10,50000815
2025-01-26,8.01122,20,50000815
2025-01-26,24.14568,30,50000815
2025-01-26,42.50938,40,50000815
2025-01-26,30.22958,50,50000815
2025-01-26,7.88561,60,50000815
2025-01-27,0.29133,10,50000815
2025-01-27,8.11187,20,50000815
2025-01-27,24.04201,30,50000815
2025-01-27,41.39778,40,50000815
2025-01-27,29.57276,50,50000815
2025-01-27,7.14177,60,50000815
2025-01-28,0.34203,10,50000815
2025-01-28,8.64988,20,50000815
2025-01-28,23.46843,30,50000815
2025-01-28,39.15718,40,50000815
2025-01-28,28.94318,50,50000815
2025-01-28,7.54736,60,50000815
2025-01-29,0.40105,10,50000815
2025-01-29,8.89127,20,50000815
2025-01-29,24.49149,30,50000815
2025-01-29,37.41676,40,50000815
2025-01-29,25.87096,50,50000815
2025-01-29,6.88903,60,50000815
2025-01-30,0.50018,10,50000815
2025-01-30,10.06114,20,50000815
2025-01-30,29.36845,30,50000815
2025-01-30,45.92287,40,50000815
2025-01-30,34.35664,50,50000815
2025-01-30,9.61998,60,50000815
2025-01-31,0.41013,10,50000815
2025-01-31,9.22876,20,50000815
2025-01-31,25.18085,30,50000815
2025-01-31,41.09358,40,50000815
2025-01-31,29.48877,50,50000815
2025-01-31,8.43725,60,50000815
2025-02-01,0.42375,10,50000815
2025-02-01,10.06038,20,50000815
2025-02-01,29.87922,30,50000815
2025-02-01,53.34766,40,50000815
2025-02-01,40.1076,50,50000815
2025-02-01,10.808,60,50000815
2025-02-02,0.47823,10,50000815
2025-02-02,11.39899,20,50000815
2025-02-02,33.99116,30,50000815
2025-02-02,55.45886,40,50000815
2025-02-02,40.65924,50,50000815
2025-02-02,11.03048,60,50000815
2025-02-03,0.40483,10,50000815
2025-02-03,9.33773,20,50000815
2025-02-03,26.79036,30,50000815
2025-02-03,42.19232,40,50000815
2025-02-03,31.00671,50,50000815
2025-02-03,9.8591,60,50000815
2025-02-04,0.3564,10,50000815
2025-02-04,9.04261,20,50000815
2025-02-04,26.8683,30,50000815
2025-02-04,41.17001,40,50000815
2025-02-04,29.81718,50,50000815
2025-02-04,8.94878,60,50000815
2025-02-05,0.33976,10,50000815
2025-02-05,9.29308,20,50000815
2025-02-05,29.52357,30,50000815
2025-02-05,42.06141,40,50000815
2025-02-05,28.49294,50,50000815
2025-02-05,8.35704,60,50000815
2025-02-06,0.35489,10,50000815
2025-02-06,8.42439,20,50000815
2025-02-06,25.97463,30,50000815
2025-02-06,39.46289,40,50000815
2025-02-06,28.98102,50,50000815
2025-02-06,9.04791,60,50000815
2025-02-07,0.37456,10,50000815
2025-02-07,8.10203,20,50000815
2025-02-07,23.80894,30,50000815
2025-02-07,39.72319,40,50000815
2025-02-07,30.40286,50,50000815
2025-02-07,9.37254,60,50000815
2025-02-08,0.36548,10,50000815
2025-02-08,9.11601,20,50000815
2025-02-08,29.5213,30,50000815
2025-02-08,51.21829,40,50000815
2025-02-08,37.91618,50,50000815
2025-02-08,11.15457,60,50000815
2025-02-09,0.39953,10,50000815
2025-02-09,11.04107,20,50000815
2025-02-09,35.84584,30,50000815
2025-02-09,59.07591,40,50000815
2025-02-09,41.01943,50,50000815
2025-02-09,11.66838,60,50000815
2025-02-10,0.33143,10,50000815
2025-02-10,9.77586,20,50000815
2025-02-10,29.06123,30,50000815
2025-02-10,44.6675,40,50000815
2025-02-10,30.37411,50,50000815
2025-02-10,9.24238,60,50000815
2025-02-11,0.37683,10,50000815
2025-02-11,9.14779,20,50000815
2025-02-11,27.79677,30,50000815
2025-02-11,44.84835,40,50000815
2025-02-11,31.19967,50,50000815
2025-02-11,9.34756,60,50000815
2025-02-12,0.39045,10,50000815
2025-02-12,8.42136,20,50000815
2025-02-12,26.74042,30,50000815
