title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
디스커버리익스페디션 픽토르U 구스다운 경량<b>패딩</b> DWDJ8P046,https://search.shopping.naver.com/catalog/50332417107,https://shopping-phinf.pstatic.net/main_5033241/50332417107.20251020093510.jpg,69950,,네이버,50332417107,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
블랙야크 발열조끼 보조베터리 포함 겨울 <b>패딩</b> 열선 방한 온열 핫조끼,https://smartstore.naver.com/main/products/4743180592,https://shopping-phinf.pstatic.net/main_8228770/82287702223.2.jpg,109000,,굿세이프,82287702223,2,블랙야크,블랙야크,스포츠/레저,등산,등산의류,조끼
스파오 베이직 푸퍼 SPJPF4TC11,https://search.shopping.naver.com/catalog/56863823913,https://shopping-phinf.pstatic.net/main_5686382/56863823913.20250922152158.jpg,29900,,네이버,56863823913,1,스파오,이랜드,패션의류,여성의류,아우터,패딩
스파오 파스텔 푸퍼 SPJPF4TG01,https://search.shopping.naver.com/catalog/58422915189,https://shopping-phinf.pstatic.net/main_5842291/58422915189.20260108015949.jpg,29900,,네이버,58422915189,1,스파오,이랜드,패션의류,여성의류,점퍼,
나이키 ACG 써마핏 ADV 루나 레이크 <b>패딩</b> FV8911,https://search.shopping.naver.com/catalog/58173777625,https://shopping-phinf.pstatic.net/main_5817377/58173777625.20251217103940.jpg,229000,,네이버,58173777625,1,나이키,나이키,패션의류,남성의류,아우터,패딩
K2 GOLDEN K95 제니스(ZENITH) PARKA KMW24553,https://search.shopping.naver.com/catalog/58528587251,https://shopping-phinf.pstatic.net/main_5852858/58528587251.20260115225341.jpg,152000,,네이버,58528587251,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
스파오 씬라이트 후드 재킷 SPJPF4TC24,https://search.shopping.naver.com/catalog/58891115799,https://shopping-phinf.pstatic.net/main_5889111/58891115799.20260211163021.jpg,26910,,네이버,58891115799,1,스파오,이랜드,패션의류,남성의류,점퍼,
스파오 후드 푸퍼 SPJPF4TG03,https://search.shopping.naver.com/catalog/57231664439,https://shopping-phinf.pstatic.net/main_5723166/57231664439.20251015084652.jpg,29900,,네이버,57231664439,1,스파오,이랜드,패션의류,여성의류,아우터,패딩
스파오 베이직 후드 푸퍼 SPJPF4TC12,https://search.shopping.naver.com/catalog/56754834332,https://shopping-phinf.pstatic.net/main_5675483/56754834332.20250916160329.jpg,29900,,네이버,56754834332,1,스파오,이랜드,패션의류,남성의류,점퍼,
K2 역시즌 롱<b>패딩</b> 수지<b>패딩</b> 씬에어 구스다운 경량 여성,https://smartstore.naver.com/main/products/7086069655,https://shopping-phinf.pstatic.net/main_8463056/84630569977.6.jpg,299000,,세이브존 전주점,84630569977,2,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
올리브데올리브 폭스퍼 후드 벨티드 롱 <b>패딩</b> 점퍼 YP5WH001,https://search.shopping.naver.com/catalog/56631098589,https://shopping-phinf.pstatic.net/main_5663109/56631098589.20250911180505.jpg,169000,,네이버,56631098589,1,올리브데올리브,올리브데올리브,패션의류,여성의류,아우터,패딩
디스커버리익스페디션 켈리 구스다운 롱<b>패딩</b> DWDJ9A046,https://search.shopping.naver.com/catalog/58245019213,https://shopping-phinf.pstatic.net/main_5824501/58245019213.20251223161614.jpg,189330,,네이버,58245019213,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
후아유 경량 <b>패딩</b> 자켓 WHJPF4911U,https://search.shopping.naver.com/catalog/56387077278,https://shopping-phinf.pstatic.net/main_5638707/56387077278.20250822152351.jpg,27589,,네이버,56387077278,1,후아유,후아유,패션의류,남성의류,아우터,패딩
SUARE 라이트 시어쉘 <b>패딩</b> 점퍼 SBE4DW01M,https://search.shopping.naver.com/catalog/57217438012,https://shopping-phinf.pstatic.net/main_5721743/57217438012.20251014170942.jpg,85150,,네이버,57217438012,1,SUARE,,패션의류,남성의류,점퍼,
컬럼비아 공용 다운 롱 <b>패딩</b> 점퍼 발열 보온 옴니히트 따뜻한 경량 후드 자켓 MM366,https://smartstore.naver.com/main/products/5776304119,https://shopping-phinf.pstatic.net/main_8332080/83320803533.5.jpg,285000,,컬럼비아 포천송우점,83320803533,2,컬럼비아,컬럼비아,스포츠/레저,등산,등산의류,점퍼
노스페이스 눕시 온 자켓 NJ3NR50,https://search.shopping.naver.com/catalog/57430829553,https://shopping-phinf.pstatic.net/main_5743082/57430829553.20251029145338.jpg,210750,,네이버,57430829553,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
K2 GOLDEN K95 베이글 KWW24554,https://search.shopping.naver.com/catalog/50029273947,https://shopping-phinf.pstatic.net/main_5002927/50029273947.20241018091212.jpg,247980,,네이버,50029273947,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
나이키 스포츠웨어 클럽 써마 핏 <b>패딩</b> 베스트 IB2978,https://search.shopping.naver.com/catalog/58720962370,https://shopping-phinf.pstatic.net/main_5872096/58720962370.20260130103258.jpg,91000,,네이버,58720962370,1,나이키,나이키,패션의류,남성의류,아우터,베스트
디스커버리익스페디션 베른 고프코어 다운 남성용 DMDJ6A046,https://search.shopping.naver.com/catalog/54579747734,https://shopping-phinf.pstatic.net/main_5457974/54579747734.20250825163019.jpg,157280,,네이버,54579747734,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
유니클로 X 질샌더 J 하이브리드 다운 오버사이즈 MA1 485339,https://search.shopping.naver.com/catalog/58332655085,https://shopping-phinf.pstatic.net/main_5833265/58332655085.20260212073041.jpg,124500,,네이버,58332655085,1,유니클로,유니클로,패션의류,남성의류,점퍼,
디스커버리익스페디션 남성 픽토르U 구스다운 경량<b>패딩</b> DMDJ8O046,https://search.shopping.naver.com/catalog/50321028940,https://shopping-phinf.pstatic.net/main_5032102/50321028940.20250806164339.jpg,71830,,네이버,50321028940,1,디스커버리익스페디션,F,스포츠/레저,등산,등산의류,점퍼
노스페이스 눕시 온 자켓 NJ3NR50A,https://search.shopping.naver.com/catalog/58316959670,https://shopping-phinf.pstatic.net/main_5831695/58316959670.20251229145401.jpg,116000,,네이버,58316959670,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
유니클로 하이브리드 다운 오버사이즈 MA-1 485339,https://search.shopping.naver.com/catalog/58261288064,https://shopping-phinf.pstatic.net/main_5826128/58261288064.20251226012851.jpg,117700,,네이버,58261288064,1,유니클로,유니클로,패션의류,남성의류,점퍼,
RAB 마이크로라이트 알파인 자켓 qdb12trd,https://search.shopping.naver.com/catalog/57727560193,https://shopping-phinf.pstatic.net/main_5772756/57727560193.20251111214000.jpg,188260,,네이버,57727560193,1,RAB,RAB,패션의류,여성의류,아우터,패딩
디스커버리익스페디션 레스터G 구스다운 롱<b>패딩</b> DWDJ68046,https://search.shopping.naver.com/catalog/55286094903,https://shopping-phinf.pstatic.net/main_5528609/55286094903.20250613181012.jpg,160800,,네이버,55286094903,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
K2 씬에어 ACE W 다운 KWW23558,https://search.shopping.naver.com/catalog/42770442058,https://shopping-phinf.pstatic.net/main_4277044/42770442058.20250905123950.jpg,154010,,네이버,42770442058,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
K2 경량 구스 씬다운 씬에어 ANANTA-LITE KMU24520,https://search.shopping.naver.com/catalog/58245454073,https://shopping-phinf.pstatic.net/main_5824545/58245454073.20251223165911.jpg,156860,,네이버,58245454073,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
로엠 경량 후드 다운 점퍼 RMJDG11RT1,https://search.shopping.naver.com/catalog/57945022839,https://shopping-phinf.pstatic.net/main_5794502/57945022839.20251214021409.jpg,62580,,네이버,57945022839,1,로엠,이랜드,패션의류,여성의류,아우터,패딩
K2 오버핏 씬에어 롱 구스 다운 KWW24560,https://search.shopping.naver.com/catalog/56773411645,https://shopping-phinf.pstatic.net/main_5677341/56773411645.20250917165904.jpg,210940,,네이버,56773411645,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
ZOOC 가죽벨트 글로시 구스 다운 점퍼 V254PSG947,https://search.shopping.naver.com/catalog/57028203940,https://shopping-phinf.pstatic.net/main_5702820/57028203940.20260204120432.jpg,199000,,네이버,57028203940,1,ZOOC,대현,패션의류,여성의류,점퍼,
블랙야크 클라이밍 스톤마스터 다운자켓 1BYPAWU902,https://search.shopping.naver.com/catalog/56987952596,https://shopping-phinf.pstatic.net/main_5698795/56987952596.20251202144141.jpg,259900,,네이버,56987952596,1,블랙야크,블랙야크,스포츠/레저,등산,등산의류,점퍼
블랙야크 히팅다운자켓 1BYPAW3008,https://search.shopping.naver.com/catalog/58270856256,https://shopping-phinf.pstatic.net/main_5827085/58270856256.20251225211651.jpg,151610,,네이버,58270856256,1,블랙야크,블랙야크,스포츠/레저,등산,등산의류,점퍼
네파 프리미아 벨티드 미드 다운 자켓 7L82072,https://search.shopping.naver.com/catalog/57813096133,https://shopping-phinf.pstatic.net/main_5781309/57813096133.20251129111916.jpg,295740,,네이버,57813096133,1,네파,네파,스포츠/레저,등산,등산의류,점퍼
스노우피크어패럴 랜드 경량 자켓 S25WWGDJ61,https://search.shopping.naver.com/catalog/56630985621,https://shopping-phinf.pstatic.net/main_5663098/56630985621.20250916155429.jpg,146780,,네이버,56630985621,1,스노우피크어패럴,,스포츠/레저,등산,등산의류,점퍼
스파오 씬라이트 후드 재킷 SPJPF4TC24,https://search.shopping.naver.com/catalog/56615695718,https://shopping-phinf.pstatic.net/main_5661569/56615695718.20250906065307.jpg,29900,,네이버,56615695718,1,스파오,이랜드,패션의류,남성의류,아우터,패딩
코오롱스포츠 중기장 푸퍼 다운 TVJDW25522,https://search.shopping.naver.com/catalog/57715896379,https://shopping-phinf.pstatic.net/main_5771589/57715896379.20260210161325.jpg,346000,,네이버,57715896379,1,코오롱스포츠,코오롱인더스트리,스포츠/레저,등산,등산의류,점퍼
더엣지 폭스퍼 야상 롱 구스다운 코트,https://search.shopping.naver.com/catalog/56630726789,https://shopping-phinf.pstatic.net/main_5663072/56630726789.20251219100602.jpg,272840,,네이버,56630726789,1,더엣지,엠에이치티,패션의류,여성의류,아우터,패딩
폴햄 퀼팅 경량 롱 점퍼,https://search.shopping.naver.com/catalog/56910520121,https://shopping-phinf.pstatic.net/main_5691052/56910520121.20251022093643.jpg,43920,,네이버,56910520121,1,폴햄,아라움,패션의류,여성의류,아우터,패딩
디스커버리익스페디션 구스다운 롱<b>패딩</b> DMDJ67026,https://search.shopping.naver.com/catalog/58344776430,https://shopping-phinf.pstatic.net/main_5834477/58344776430.20251231200327.jpg,125400,,네이버,58344776430,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
노스페이스 노벨티 눕시 온 자켓 NJ3NR65J,https://search.shopping.naver.com/catalog/57065102638,https://shopping-phinf.pstatic.net/main_5706510/57065102638.20251018072442.jpg,116990,,네이버,57065102638,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
K2 시그니처 도로시 W KWW24574,https://search.shopping.naver.com/catalog/57153745213,https://shopping-phinf.pstatic.net/main_5715374/57153745213.20251010163151.jpg,288100,,네이버,57153745213,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
