period,ratio
2025-02-13,66.22731
2025-02-14,62.37441
2025-02-15,74.6505
2025-02-16,85.49535
2025-02-17,78.48646
2025-02-18,66.58111
2025-02-19,64.71437
2025-02-20,60.68056
2025-02-21,57.91373
2025-02-22,67.78094
2025-02-23,74.64307
2025-02-24,60.78275
2025-02-25,56.49615
2025-02-26,55.25978
2025-02-27,51.63027
2025-02-28,47.04898
2025-03-01,54.91756
2025-03-02,58.4324
2025-03-03,58.60024
2025-03-04,46.55051
2025-03-05,47.16216
2025-03-06,49.48192
2025-03-07,46.76766
2025-03-08,54.5997
2025-03-09,60.07188
2025-03-10,51.90624
2025-03-11,49.58203
2025-03-12,49.26863
2025-03-13,46.24157
2025-03-14,41.40748
2025-03-15,47.35882
2025-03-16,52.88595
2025-03-17,41.67513
2025-03-18,42.12042
2025-03-19,40.87692
2025-03-20,39.85295
2025-03-21,38.83373
2025-03-22,40.98654
2025-03-23,43.78635
2025-03-24,37.44556
2025-03-25,35.77429
2025-03-26,33.61791
2025-03-27,33.11647
2025-03-28,31.12051
2025-03-29,35.67507
2025-03-30,38.16237
2025-03-31,33.00894
2025-04-01,34.06083
2025-04-02,36.86391
2025-04-03,34.6808
2025-04-04,33.23203
2025-04-05,41.41847
2025-04-06,41.9205
2025-04-07,36.85143
2025-04-08,36.12334
2025-04-09,36.50565
2025-04-10,33.37492
2025-04-11,29.65006
2025-04-12,34.69506
2025-04-13,39.77155
2025-04-14,33.26679
2025-04-15,32.42759
2025-04-16,32.61533
2025-04-17,30.98119
2025-04-18,28.10712
2025-04-19,30.20883
2025-04-20,31.47431
2025-04-21,26.36901
2025-04-22,27.36238
2025-04-23,25.48138
2025-04-24,24.10628
2025-04-25,23.93785
2025-04-26,25.59843
2025-04-27,28.0682
2025-04-28,24.81537
2025-04-29,24.45296
2025-04-30,22.49799
2025-05-01,25.86341
2025-05-02,21.20131
2025-05-03,25.24106
2025-05-04,24.65258
2025-05-05,27.8757
2025-05-06,29.15069
2025-05-07,25.93529
2025-05-08,24.45296
2025-05-09,25.26691
2025-05-10,27.45714
2025-05-11,27.7649
2025-05-12,24.16213
2025-05-13,22.82951
2025-05-14,21.60888
2025-05-15,20.0499
2025-05-16,18.61242
2025-05-17,18.42408
2025-05-18,19.44924
2025-05-19,18.56132
2025-05-20,16.78252
2025-05-21,14.53227
2025-05-22,13.58048
2025-05-23,13.94498
2025-05-24,16.53001
2025-05-25,15.81261
2025-05-26,14.4179
2025-05-27,14.65852
2025-05-28,13.62653
2025-05-29,12.35689
2025-05-30,11.50164
2025-05-31,12.68425
2025-06-01,13.09627
2025-06-02,11.87089
2025-06-03,14.97638
2025-06-04,11.01357
2025-06-05,10.37756
2025-06-06,11.1015
2025-06-07,11.18349
2025-06-08,10.58135
2025-06-09,9.41657
2025-06-10,8.87769
2025-06-11,9.35389
2025-06-12,8.7859
2025-06-13,8.58984
2025-06-14,8.80491
2025-06-15,8.99117
2025-06-16,8.14841
2025-06-17,7.90511
2025-06-18,8.82898
2025-06-19,8.52063
2025-06-20,8.25386
2025-06-21,8.83848
2025-06-22,9.15634
2025-06-23,7.53141
2025-06-24,8.29397
2025-06-25,8.624
2025-06-26,7.91373
2025-06-27,8.04325
2025-06-28,8.18376
2025-06-29,8.28416
2025-06-30,6.81311
2025-07-01,7.17969
2025-07-02,6.92986
2025-07-03,6.17829
2025-07-04,6.35088
2025-07-05,7.03056
2025-07-06,7.3805
2025-07-07,6.32504
2025-07-08,6.46941
2025-07-09,6.43169
2025-07-10,6.64319
2025-07-11,7.17286
2025-07-12,7.77559
2025-07-13,8.86819
2025-07-14,7.45893
2025-07-15,8.80818
2025-07-16,8.89017
2025-07-17,8.67985
2025-07-18,8.89582
2025-07-19,9.74512
2025-07-20,9.05207
2025-07-21,7.45328
2025-07-22,7.59379
2025-07-23,7.07512
2025-07-24,7.43576
2025-07-25,7.22544
2025-07-26,7.68291
2025-07-27,8.29159
2025-07-28,7.39506
2025-07-29,7.54656
2025-07-30,7.47645
2025-07-31,7.48566
2025-08-01,5.68576
2025-08-02,6.74627
2025-08-03,7.29465
2025-08-04,6.23949
2025-08-05,7.12414
2025-08-06,7.36208
2025-08-07,6.90401
2025-08-08,7.18533
2025-08-09,9.32091
2025-08-10,9.60074
2025-08-11,9.05326
2025-08-12,10.15981
2025-08-13,9.38953
2025-08-14,8.88898
2025-08-15,10.84959
2025-08-16,10.88227
2025-08-17,10.71235
2025-08-18,9.23892
2025-08-19,9.55292
2025-08-20,9.02563
2025-08-21,9.22229
2025-08-22,9.37141
2025-08-23,11.06823
2025-08-24,11.82039
2025-08-25,9.76205
2025-08-26,10.53708
2025-08-27,11.27706
2025-08-28,11.34509
2025-08-29,10.41796
2025-08-30,12.11983
2025-08-31,13.15925
2025-09-01,11.21557
2025-09-02,12.41897
2025-09-03,11.81861
2025-09-04,11.60859
2025-09-05,12.38748
2025-09-06,14.23372
2025-09-07,15.70151
2025-09-08,13.68119
2025-09-09,15.9757
2025-09-10,14.67991
2025-09-11,13.37729
2025-09-12,13.97766
2025-09-13,17.1785
2025-09-14,18.14781
2025-09-15,14.6811
2025-09-16,15.64536
2025-09-17,17.12087
2025-09-18,17.32703
2025-09-19,18.91928
2025-09-20,21.9
2025-09-21,24.26699
2025-09-22,20.6868
2025-09-23,20.16991
2025-09-24,20.1414
2025-09-25,18.0379
2025-09-26,17.2697
2025-09-27,18.57736
2025-09-28,22.93705
2025-09-29,18.07592
2025-09-30,18.97662
2025-10-01,17.11196
2025-10-02,15.52357
2025-10-03,20.63868
2025-10-04,20.07426
2025-10-05,18.29397
2025-10-06,19.53183
2025-10-07,26.32653
2025-10-08,26.43169
2025-10-09,29.74125
2025-10-10,28.351
2025-10-11,31.08992
2025-10-12,33.20797
2025-10-13,30.95683
2025-10-14,33.03478
2025-10-15,29.33666
2025-10-16,28.34179
2025-10-17,27.47021
2025-10-18,38.62816
2025-10-19,47.97581
2025-10-20,58.02988
2025-10-21,63.84546
2025-10-22,60.01722
2025-10-23,52.43739
2025-10-24,49.23209
2025-10-25,55.37801
2025-10-26,74.5397
2025-10-27,78.54944
2025-10-28,81.50372
2025-10-29,74.21649
2025-10-30,66.39247
2025-10-31,57.9972
2025-11-01,70.29349
2025-11-02,92.99111
2025-11-03,81.64394
2025-11-04,74.93301
2025-11-05,71.43154
2025-11-06,66.76321
2025-11-07,60.02198
2025-11-08,70.00861
2025-11-09,77.05225
2025-11-10,69.47954
2025-11-11,72.13023
2025-11-12,72.22915
2025-11-13,68.52478
2025-11-14,66.01194
2025-11-15,76.03927
2025-11-16,87.10394
2025-11-17,93.235
2025-11-18,99.96405
2025-11-19,95.11422
2025-11-20,84.38315
2025-11-21,78.17009
2025-11-22,85.36791
2025-11-23,95.12937
2025-11-24,73.54573
2025-11-25,77.55428
2025-11-26,76.81282
2025-11-27,78.91661
2025-11-28,75.65665
2025-11-29,84.6306
2025-11-30,88.09464
2025-12-01,76.04016
2025-12-02,85.83994
2025-12-03,100.0
2025-12-04,95.75498
2025-12-05,88.06493
2025-12-06,95.72854
2025-12-07,98.87413
2025-12-08,59.17862
2025-12-09,36.04461
2025-12-10,32.94507
2025-12-11,31.74821
2025-12-12,30.93841
2025-12-13,36.26177
2025-12-14,39.33844
2025-12-15,32.29272
2025-12-16,30.50559
2025-12-17,27.84422
2025-12-18,25.07441
2025-12-19,23.48839
2025-12-20,26.74865
2025-12-21,30.26497
2025-12-22,25.26601
2025-12-23,23.87844
2025-12-24,21.57145
2025-12-25,29.9391
2025-12-26,28.1588
2025-12-27,31.13299
2025-12-28,32.24994
2025-12-29,25.18759
2025-12-30,24.56257
2025-12-31,23.22817
2026-01-01,29.26833
2026-01-02,27.3701
2026-01-03,31.3338
2026-01-04,32.87764
2026-01-05,25.30018
2026-01-06,25.26988
2026-01-07,25.03817
2026-01-08,26.16225
2026-01-09,25.08807
2026-01-10,30.02079
2026-01-11,33.07132
2026-01-12,25.90054
2026-01-13,25.13323
2026-01-14,24.64783
2026-01-15,22.71217
2026-01-16,21.38401
2026-01-17,23.98716
2026-01-18,26.52704
2026-01-19,22.68425
2026-01-20,22.74455
2026-01-21,23.00953
2026-01-22,22.47571
2026-01-23,21.43332
2026-01-24,25.30552
2026-01-25,26.36366
2026-01-26,21.00971
2026-01-27,21.13566
2026-01-28,20.79612
2026-01-29,20.01396
2026-01-30,19.91206
2026-01-31,24.11638
2026-02-01,25.64863
2026-02-02,19.1498
2026-02-03,18.78204
2026-02-04,18.03374
2026-02-05,17.49457
2026-02-06,17.40753
2026-02-07,21.3745
2026-02-08,23.35561
2026-02-09,17.53022
2026-02-10,16.86332
2026-02-11,15.93262
2026-02-12,14.52781
