period,ratio
2025-02-13,67.33324
2025-02-14,64.95198
2025-02-15,53.34824
2025-02-16,53.66399
2025-02-17,71.71424
2025-02-18,74.68754
2025-02-19,73.14826
2025-02-20,71.62215
2025-02-21,69.93816
2025-02-22,51.84844
2025-02-23,51.36166
2025-02-24,69.22773
2025-02-25,71.33271
2025-02-26,71.64846
2025-02-27,75.72687
2025-02-28,61.41297
2025-03-01,48.74358
2025-03-02,48.86199
2025-03-03,54.96645
2025-03-04,72.24049
2025-03-05,77.37139
2025-03-06,78.5686
2025-03-07,74.20076
2025-03-08,56.18997
2025-03-09,58.99223
2025-03-10,80.81831
2025-03-11,85.09406
2025-03-12,81.41034
2025-03-13,75.84528
2025-03-14,70.51703
2025-03-15,53.9008
2025-03-16,56.20313
2025-03-17,76.58202
2025-03-18,78.47651
2025-03-19,75.55584
2025-03-20,70.1355
2025-03-21,69.5961
2025-03-22,52.32206
2025-03-23,59.7816
2025-03-24,78.05551
2025-03-25,81.64715
2025-03-26,77.23983
2025-03-27,78.75279
2025-03-28,66.07025
2025-03-29,55.63741
2025-03-30,58.71595
2025-03-31,73.37192
2025-04-01,79.98947
2025-04-02,79.55532
2025-04-03,85.42297
2025-04-04,70.56966
2025-04-05,57.68977
2025-04-06,57.3214
2025-04-07,80.371
2025-04-08,87.76476
2025-04-09,92.96145
2025-04-10,90.31706
2025-04-11,81.84449
2025-04-12,66.04394
2025-04-13,71.62215
2025-04-14,78.48967
2025-04-15,91.18537
2025-04-16,86.19918
2025-04-17,83.54163
2025-04-18,87.34377
2025-04-19,64.2547
2025-04-20,60.42625
2025-04-21,100.0
2025-04-22,94.94803
2025-04-23,90.04078
2025-04-24,81.4498
2025-04-25,73.68767
2025-04-26,52.95355
2025-04-27,51.71687
2025-04-28,71.05643
2025-04-29,72.8983
2025-04-30,69.39876
2025-05-01,62.17602
2025-05-02,61.26825
2025-05-03,49.04617
2025-05-04,40.75779
2025-05-05,44.91514
2025-05-06,50.42757
2025-05-07,69.04354
2025-05-08,71.03012
2025-05-09,73.96395
2025-05-10,54.37442
2025-05-11,52.38784
2025-05-12,76.45046
2025-05-13,80.92356
2025-05-14,86.42283
2025-05-15,77.46349
2025-05-16,70.79331
2025-05-17,53.74292
2025-05-18,52.80884
2025-05-19,71.16168
2025-05-20,86.22549
2025-05-21,90.56703
2025-05-22,78.31864
2025-05-23,70.74069
2025-05-24,43.98105
2025-05-25,48.17787
2025-05-26,70.2276
2025-05-27,64.20207
2025-05-28,67.50427
2025-05-29,61.05775
2025-05-30,57.61084
2025-05-31,43.95474
2025-06-01,49.74345
2025-06-02,61.80765
2025-06-03,49.57242
2025-06-04,60.72885
2025-06-05,58.59755
2025-06-06,37.67925
2025-06-07,38.99486
2025-06-08,43.25746
2025-06-09,63.57058
2025-06-10,61.24194
2025-06-11,64.74148
2025-06-12,59.4527
2025-06-13,57.79502
2025-06-14,41.19194
2025-06-15,47.74371
2025-06-16,62.11024
2025-06-17,64.07051
2025-06-18,62.11024
2025-06-19,60.71569
2025-06-20,53.58505
2025-06-21,46.62544
2025-06-22,45.75713
2025-06-23,60.50519
2025-06-24,64.21523
2025-06-25,57.18984
2025-06-26,59.76845
2025-06-27,54.4402
2025-06-28,42.87593
2025-06-29,45.84923
2025-06-30,60.67622
2025-07-01,70.9775
2025-07-02,67.60952
2025-07-03,70.37231
2025-07-04,65.24141
2025-07-05,41.67872
2025-07-06,47.9279
2025-07-07,66.32022
2025-07-08,61.83396
2025-07-09,62.39968
2025-07-10,55.37429
2025-07-11,53.1509
2025-07-12,38.48177
2025-07-13,39.27114
2025-07-14,50.63807
2025-07-15,53.44033
2025-07-16,53.1509
2025-07-17,45.95447
2025-07-18,47.61215
2025-07-19,35.21905
2025-07-20,35.19273
2025-07-21,45.94132
2025-07-22,48.4673
2025-07-23,48.23049
2025-07-24,42.52072
2025-07-25,42.34969
2025-07-26,33.193
2025-07-27,31.95632
2025-07-28,46.59913
2025-07-29,45.00723
2025-07-30,42.61281
2025-07-31,40.52098
2025-08-01,38.69227
2025-08-02,30.36442
2025-08-03,30.37758
2025-08-04,39.21852
2025-08-05,43.78371
2025-08-06,46.82278
2025-08-07,46.41494
2025-08-08,40.79726
2025-08-09,35.74529
2025-08-10,32.27206
2025-08-11,44.38889
2025-08-12,44.58623
2025-08-13,44.11261
2025-08-14,40.95513
2025-08-15,28.04894
2025-08-16,28.89093
2025-08-17,31.20642
2025-08-18,42.65228
2025-08-19,47.77003
2025-08-20,48.75674
2025-08-21,47.30956
2025-08-22,42.15234
2025-08-23,33.35087
2025-08-24,34.21918
2025-08-25,46.46757
2025-08-26,47.28325
2025-08-27,47.32272
2025-08-28,45.92816
2025-08-29,43.99421
2025-08-30,36.58729
2025-08-31,33.66662
2025-09-01,48.65149
2025-09-02,59.04486
2025-09-03,55.58479
2025-09-04,53.19036
2025-09-05,49.45401
2025-09-06,35.58742
2025-09-07,39.04749
2025-09-08,51.80897
2025-09-09,55.95316
2025-09-10,47.23062
2025-09-11,48.23049
2025-09-12,43.07327
2025-09-13,32.9825
2025-09-14,33.64031
2025-09-15,45.3756
2025-09-16,49.79607
2025-09-17,48.63833
2025-09-18,49.19089
2025-09-19,48.09893
2025-09-20,35.60057
2025-09-21,34.10077
2025-09-22,48.53308
2025-09-23,44.59939
2025-09-24,48.84883
2025-09-25,41.28404
2025-09-26,38.88961
2025-09-27,28.53571
2025-09-28,32.42994
2025-09-29,37.44244
2025-09-30,38.70543
2025-10-01,39.63952
2025-10-02,35.16642
2025-10-03,28.44362
2025-10-04,24.43099
2025-10-05,21.94448
2025-10-06,20.31311
2025-10-07,21.28667
2025-10-08,24.37837
2025-10-09,28.82515
2025-10-10,35.1138
2025-10-11,34.99539
2025-10-12,34.02183
2025-10-13,53.49296
2025-10-14,55.20326
2025-10-15,51.87475
2025-10-16,47.58584
2025-10-17,44.02052
2025-10-18,35.46901
2025-10-19,35.91632
2025-10-20,58.8212
2025-10-21,58.33442
2025-10-22,57.99236
2025-10-23,49.55926
2025-10-24,45.12564
2025-10-25,33.29825
2025-10-26,37.77134
2025-10-27,57.03196
2025-10-28,52.62465
2025-10-29,46.78331
2025-10-30,43.90211
2025-10-31,38.90277
2025-11-01,32.90356
2025-11-02,37.6924
2025-11-03,46.82278
2025-11-04,48.03315
2025-11-05,45.32298
2025-11-06,43.46796
2025-11-07,39.74477
2025-11-08,28.21997
2025-11-09,30.2197
2025-11-10,42.53387
2025-11-11,40.34995
2025-11-12,42.99434
2025-11-13,39.75792
2025-11-14,38.88961
2025-11-15,32.16682
2025-11-16,29.83817
2025-11-17,42.38915
2025-11-18,46.53335
2025-11-19,44.05999
2025-11-20,39.96842
2025-11-21,38.02131
2025-11-22,27.2201
2025-11-23,30.23286
2025-11-24,40.20523
2025-11-25,41.84975
2025-11-26,40.20523
2025-11-27,34.58755
2025-11-28,33.87712
2025-11-29,26.70701
2025-11-30,28.23312
2025-12-01,38.16603
2025-12-02,44.87567
2025-12-03,44.37574
2025-12-04,40.82357
2025-12-05,34.4823
2025-12-06,27.52269
2025-12-07,30.71964
2025-12-08,38.48177
2025-12-09,38.42915
2025-12-10,36.35048
2025-12-11,37.10038
2025-12-12,34.79805
2025-12-13,28.57518
2025-12-14,29.44349
2025-12-15,36.57413
2025-12-16,35.45586
2025-12-17,35.96895
2025-12-18,37.17931
2025-12-19,32.96934
2025-12-20,23.39165
2025-12-21,27.18063
2025-12-22,33.20615
2025-12-23,32.46941
2025-12-24,27.31219
2025-12-25,19.61584
2025-12-26,26.75963
2025-12-27,23.7074
2025-12-28,24.36521
2025-12-29,30.08814
2025-12-30,29.86449
2025-12-31,26.35179
2026-01-01,23.57584
2026-01-02,31.36429
2026-01-03,28.85146
2026-01-04,31.00907
2026-01-05,37.16616
2026-01-06,38.10024
2026-01-07,38.16603
2026-01-08,38.91593
2026-01-09,38.5344
2026-01-10,30.73279
2026-01-11,31.74582
2026-01-12,38.6528
2026-01-13,42.74437
2026-01-14,37.83712
2026-01-15,38.06078
2026-01-16,36.33732
2026-01-17,32.19313
2026-01-18,28.06209
2026-01-19,33.96921
2026-01-20,36.8241
2026-01-21,35.79792
2026-01-22,39.20536
2026-01-23,32.2326
2026-01-24,28.61465
2026-01-25,25.04933
2026-01-26,36.29785
2026-01-27,36.83725
2026-01-28,36.732
2026-01-29,34.62702
2026-01-30,35.28483
2026-01-31,27.70688
2026-02-01,29.20668
2026-02-02,34.36389
2026-02-03,34.31127
2026-02-04,36.60044
2026-02-05,37.60031
2026-02-06,35.61373
2026-02-07,28.28575
2026-02-08,28.90409
2026-02-09,38.73174
2026-02-10,37.54769
2026-02-11,35.32429
2026-02-12,33.40349
