title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
ZOOC Z00C 싱글 하프 <b>트렌치코트</b> V251PSI901,https://search.shopping.naver.com/catalog/54671696886,https://shopping-phinf.pstatic.net/main_5467169/54671696886.20250510110033.jpg,169000,,네이버,54671696886,1,ZOOC,,패션의류,여성의류,아우터,트렌치코트
씨씨콜렉트 싱글버튼 <b>트렌치 코트</b> E253MSI101,https://search.shopping.naver.com/catalog/56553426126,https://shopping-phinf.pstatic.net/main_5655342/56553426126.20251017192855.jpg,113700,,네이버,56553426126,1,씨씨콜렉트,대현,패션의류,여성의류,아우터,트렌치코트
더엣지 카라퍼 구스 다운 <b>트렌치 코트</b> wydj7g01,https://search.shopping.naver.com/catalog/58137482228,https://shopping-phinf.pstatic.net/main_5813748/58137482228.20251214193337.jpg,135710,,네이버,58137482228,1,더엣지,티비에이치글로벌,패션의류,여성의류,아우터,트렌치코트
국산 고퀄리티 여성 여자 루즈핏 후드 롱 야상 사파리 점퍼 <b>트렌치코트</b> 자켓 봄 가을,https://smartstore.naver.com/main/products/5098823585,https://shopping-phinf.pstatic.net/main_8264334/82643345613.2.jpg,79800,,욱스타일,82643345613,2,,,패션의류,여성의류,아우터,트렌치코트
버버리 [롯데직매입] 버버리 엠버포드 <b>트렌치 코트</b> (4062463),https://www.lotteimall.com/coop/affilGate.lotte?chl_no=141370&chl_dtl_no=2540914&returnUrl=/goods/viewGoodsDetail.lotte?goods_no=12872496&utm_source=naver&utm_medium=affiliate&utm_campaign=price_compare,https://shopping-phinf.pstatic.net/main_5679870/56798707462.jpg,690000,,롯데홈쇼핑,56798707462,2,버버리,버버리,패션의류,여성의류,아우터,트렌치코트
로보 10 스웨이드 더블 롱 <b>트렌치코트</b> 314415,https://search.shopping.naver.com/catalog/50503329925,https://shopping-phinf.pstatic.net/main_5050332/50503329925.20240926155807.jpg,576500,,네이버,50503329925,1,로보,,패션의류,여성의류,아우터,트렌치코트
[6온스]로먼트 카라넥 패딩 <b>트렌치코트</b>(겨울아우터/롱패팅/롱코트),https://smartstore.naver.com/main/products/12595613633,https://shopping-phinf.pstatic.net/main_9014012/90140124490.jpg,86450,,달리호텔,90140124490,2,,,패션의류,여성의류,아우터,트렌치코트
씨씨콜렉트 하프 래글런 <b>트렌치 코트</b> c253msj003,https://search.shopping.naver.com/catalog/56615733969,https://shopping-phinf.pstatic.net/main_5661573/56615733969.20250906071358.jpg,130680,,네이버,56615733969,1,씨씨콜렉트,대현,패션의류,여성의류,아우터,트렌치코트
씨씨콜렉트 플레어라인 싱글 버튼 <b>트렌치 코트</b> E241MSI101,https://search.shopping.naver.com/catalog/54297387130,https://shopping-phinf.pstatic.net/main_5429738/54297387130.20250419234322.jpg,119700,,네이버,54297387130,1,씨씨콜렉트,대현,패션의류,여성의류,아우터,트렌치코트
써스데이아일랜드 <b>트렌치 코트</b> 하프기장 T246MCT132W,https://search.shopping.naver.com/catalog/56154821558,https://shopping-phinf.pstatic.net/main_5615482/56154821558.20250807225434.jpg,92090,,네이버,56154821558,1,써스데이아일랜드,지엔코,패션의류,여성의류,아우터,트렌치코트
