period,ratio,keyword
2025-01-16,10.71428,블랙 트렌치코트
2025-01-17,10.71428,블랙 트렌치코트
2025-01-20,8.92857,블랙 트렌치코트
2025-01-22,12.5,블랙 트렌치코트
2025-01-23,8.92857,블랙 트렌치코트
2025-01-24,10.71428,블랙 트렌치코트
2025-01-26,10.71428,블랙 트렌치코트
2025-01-27,14.28571,블랙 트렌치코트
2025-01-28,8.92857,블랙 트렌치코트
2025-01-29,16.07142,블랙 트렌치코트
2025-01-30,25.0,블랙 트렌치코트
2025-01-31,12.5,블랙 트렌치코트
2025-02-01,10.71428,블랙 트렌치코트
2025-02-02,17.85714,블랙 트렌치코트
2025-02-03,12.5,블랙 트렌치코트
2025-02-06,8.92857,블랙 트렌치코트
2025-02-07,10.71428,블랙 트렌치코트
2025-02-08,17.85714,블랙 트렌치코트
2025-02-09,19.64285,블랙 트렌치코트
2025-02-10,23.21428,블랙 트렌치코트
2025-02-11,25.0,블랙 트렌치코트
2025-02-12,19.64285,블랙 트렌치코트
2025-02-13,17.85714,블랙 트렌치코트
2025-02-14,19.64285,블랙 트렌치코트
2025-02-15,28.57142,블랙 트렌치코트
2025-02-16,32.14285,블랙 트렌치코트
2025-02-18,28.57142,블랙 트렌치코트
2025-02-19,25.0,블랙 트렌치코트
2025-02-20,60.71428,블랙 트렌치코트
2025-02-21,26.78571,블랙 트렌치코트
2025-02-22,21.42857,블랙 트렌치코트
2025-02-23,50.0,블랙 트렌치코트
2025-02-24,33.92857,블랙 트렌치코트
2025-02-25,46.42857,블랙 트렌치코트
2025-02-26,37.5,블랙 트렌치코트
2025-02-27,53.57142,블랙 트렌치코트
2025-02-28,55.35714,블랙 트렌치코트
2025-03-01,71.42857,블랙 트렌치코트
2025-03-02,62.5,블랙 트렌치코트
2025-03-03,64.28571,블랙 트렌치코트
2025-03-04,62.5,블랙 트렌치코트
2025-03-05,46.42857,블랙 트렌치코트
2025-03-06,75.0,블랙 트렌치코트
2025-03-07,55.35714,블랙 트렌치코트
2025-03-08,58.92857,블랙 트렌치코트
2025-03-09,66.07142,블랙 트렌치코트
2025-03-10,92.85714,블랙 트렌치코트
2025-03-11,78.57142,블랙 트렌치코트
2025-03-12,100.0,블랙 트렌치코트
2025-03-13,67.85714,블랙 트렌치코트
2025-03-14,82.14285,블랙 트렌치코트
2025-03-15,60.71428,블랙 트렌치코트
2025-01-20,12.5,네이비 트렌치코트
2025-01-21,8.92857,네이비 트렌치코트
2025-01-26,10.71428,네이비 트렌치코트
2025-01-30,10.71428,네이비 트렌치코트
2025-02-01,14.28571,네이비 트렌치코트
2025-02-02,10.71428,네이비 트렌치코트
2025-02-06,10.71428,네이비 트렌치코트
2025-02-08,8.92857,네이비 트렌치코트
2025-02-13,12.5,네이비 트렌치코트
2025-02-14,10.71428,네이비 트렌치코트
2025-02-15,17.85714,네이비 트렌치코트
2025-02-16,16.07142,네이비 트렌치코트
2025-02-17,16.07142,네이비 트렌치코트
2025-02-18,8.92857,네이비 트렌치코트
2025-02-19,25.0,네이비 트렌치코트
2025-02-20,21.42857,네이비 트렌치코트
2025-02-21,16.07142,네이비 트렌치코트
2025-02-22,25.0,네이비 트렌치코트
2025-02-23,14.28571,네이비 트렌치코트
2025-02-24,32.14285,네이비 트렌치코트
2025-02-25,30.35714,네이비 트렌치코트
2025-02-26,26.78571,네이비 트렌치코트
2025-02-27,17.85714,네이비 트렌치코트
2025-02-28,39.28571,네이비 트렌치코트
2025-03-01,66.07142,네이비 트렌치코트
2025-03-02,76.78571,네이비 트렌치코트
2025-03-03,58.92857,네이비 트렌치코트
2025-03-04,37.5,네이비 트렌치코트
2025-03-05,37.5,네이비 트렌치코트
2025-03-06,51.78571,네이비 트렌치코트
2025-03-07,55.35714,네이비 트렌치코트
2025-03-08,62.5,네이비 트렌치코트
2025-03-09,64.28571,네이비 트렌치코트
2025-03-10,44.64285,네이비 트렌치코트
2025-03-11,94.64285,네이비 트렌치코트
2025-03-12,80.35714,네이비 트렌치코트
2025-03-13,78.57142,네이비 트렌치코트
2025-03-14,80.35714,네이비 트렌치코트
2025-03-15,71.42857,네이비 트렌치코트
2025-01-17,10.71428,카키 트렌치코트
2025-01-30,12.5,카키 트렌치코트
2025-01-31,10.71428,카키 트렌치코트
